130,508,corte,al104050,38199/01284,IV,---,14/01/2022,14/01/2022,0,1,0.13,23,0.50,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_ACTIVE_MEMORY,0,0
129,509,corte,al104050,38199/01284,IV,---,14/01/2022,14/01/2022,0,1,0.54,23,3.00,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_ACTIVE_MEMORY,0,0
27,587,tritonctl,al126585/4,37999/38821,II,---,27/01/2022,27/01/2022,0,5,2.00,4,0.89,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
28,602,salsa3,al100315,38199/01935,V,---,26/01/2022,26/01/2022,0,2,9.35,14,0.58,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
48,525,atlas,al122425/2,38199/01907,III,---,24/01/2022,25/01/2022,1,1,11.95,138,0.92,0.50,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.5020833333333333
43,551,atlas,al122425/2,38199/01907,III,---,24/01/2022,25/01/2022,1,1,11.87,138,0.91,0.51,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
36,570,atlas,al122425/2,38199/01907,III,---,24/01/2022,25/01/2022,1,2,6.89,138,1.00,0.71,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
33,578,atlas,al122425/2,38199/01907,III,---,24/01/2022,26/01/2022,2,2,8.15,138,0.92,1.66,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.6604166666666667
30,579,atlas,al122425/2,38199/01907,III,---,24/01/2022,26/01/2022,2,2,8.86,74,1.16,1.63,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
31,577,tritonctl,al105163/4,31499/01698,IV,---,24/01/2022,26/01/2022,2,6,9.11,12,1.12,1.62,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,2,1.6204166666666666
32,601,cliotest,al124315/4,37004/37154,V,---,26/01/2022,26/01/2022,0,1,0.21,35,0.36,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),placeholder,0,0
