191,238,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,11/12/2021,1,2,0.27,12,0.62,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
193,239,mb2mir,al011046,37999/38821,VI,-P-,10/12/2021,11/12/2021,1,3,0.39,12,0.62,0.98,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
171,274,mb2mir,al011046,37999/38821,VI,---,12/12/2021,12/12/2021,0,4,4.50,17,0.66,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
172,272,mb2mir,al011046,37999/38821,VI,---,12/12/2021,12/12/2021,0,2,3.39,25,0.77,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
159,270,mb2mir,al011046,37999/38821,VI,---,12/12/2021,13/12/2021,1,1,0.16,9,2.00,0.99,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
160,273,mb2mir,al011046,37999/38821,VI,---,12/12/2021,13/12/2021,1,1,2.86,27,0.77,0.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
161,276,mb2mir,al011046,37999/38821,VI,---,12/12/2021,13/12/2021,1,1,1.25,18,0.70,0.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
164,271,mb2mir,al011046,37999/38821,VI,---,12/12/2021,13/12/2021,1,1,2.90,27,0.94,0.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
143,180,mb2mir,al011046,37999/38821,VI,-P-,14/12/2021,14/12/2021,0,1,1.85,27,0.78,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
150,275,mb2mir,al011046,37999/38821,VI,---,14/12/2021,14/12/2021,0,1,1.39,18,0.79,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
132,336,mb2mir,al011046,37999/38821,VI,---,15/12/2021,15/12/2021,0,1,1.38,25,0.37,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
99,277,mb2mir,al011046,37999/38821,VI,---,17/12/2021,17/12/2021,0,1,0.15,9,1.80,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
100,279,mb2mir,al011046,37999/38821,VI,---,12/12/2021,17/12/2021,5,1,2.82,27,0.75,4.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
102,280,mb2mir,al011046,37999/38821,VI,---,17/12/2021,17/12/2021,0,1,1.30,18,0.73,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
103,281,mb2mir,al011046,37999/38821,VI,---,17/12/2021,17/12/2021,0,1,1.19,18,0.67,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
104,278,mb2mir,al011046,37999/38821,VI,---,17/12/2021,17/12/2021,0,1,2.42,27,0.78,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
87,332,mb2mir,al011046,37999/38821,VI,---,18/12/2021,18/12/2021,0,3,6.74,30,0.85,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
91,333,mb2mir,al011046,37999/38821,VI,---,18/12/2021,18/12/2021,0,1,1.72,25,0.78,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
71,337,mb2mir,al011046,37999/38821,VI,---,19/12/2021,19/12/2021,0,1,1.41,25,0.38,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
47,400,mb2mir,al011046,37999/38821,VI,---,20/12/2021,20/12/2021,0,1,0.53,25,0.63,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
44,399,mb2mir,al011046,37999/38821,VI,---,21/12/2021,21/12/2021,0,1,0.17,14,0.67,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
45,398,mb2mir,al011046,37999/38821,VI,---,21/12/2021,21/12/2021,0,1,0.20,13,0.86,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
46,397,mb2mir,al011046,37999/38821,VI,---,21/12/2021,21/12/2021,0,1,0.31,13,1.29,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
37,396,mb2mir,al011046,37999/38821,VI,---,22/12/2021,22/12/2021,0,4,7.52,27,0.75,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
16,436,mb2mir,al011046,37999/38821,VI,---,23/12/2021,23/12/2021,0,1,2.71,25,0.72,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
30,412,mb2mir,al011046,37999/38821,VI,---,22/12/2021,23/12/2021,1,3,8.15,25,0.72,0.66,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
12,435,mb2mir,al011046,37999/38821,VI,---,23/12/2021,24/12/2021,1,3,6.00,26,0.88,0.75,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0
15,427,marlin,al121490/D,37023/01820,III,---,22/12/2021,23/12/2021,1,6,2.64,17,0.87,0.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_MACHINE_LEARNING,1
19,423,marlin,al121490/C,37023/01820,III,---,22/12/2021,23/12/2021,1,6,23.13,17,0.87,0.04,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_MACHINE_LEARNING,1
20,010,sipp27,al809065,32102/01048,VI,---,22/12/2021,23/12/2021,1,3,5.45,22,0.57,0.77,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CONNECT_BILA,1
23,319,salsa2pla,ampt0814,38199/01935,II,---,15/12/2021,23/12/2021,8,7,19.10,35,0.53,7.20,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,8
168,258,ev2,al111016,37999/01556,VI,---,12/12/2021,13/12/2021,1,3,0.84,23,0.45,0.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,1
169,257,ev2,al111016,37999/01556,VI,---,12/12/2021,13/12/2021,1,3,1.23,105,0.40,0.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
141,317,ev2prb60,al111016,37999/01556,VI,---,14/12/2021,14/12/2021,0,3,2.32,105,0.73,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
